linkage,k,objective_score,entropy_score,balance_score,length_score,word_score,avg_entropy,gini,avg_max_dataset_pct,silhouette,time_sec
ward,2,0.5629754661972611,0.67775531325332,0.8604347826086955,0.09344703151156541,0.13150567591059714,1.0166329698799799,0.13956521739130445,0.5147397329471511,0.44954133,0.9283308982849121
ward,3,0.554075202221151,0.5511369717437721,0.9675362318840579,0.10227752733331485,0.18678609905618393,0.8267054576156582,0.03246376811594209,0.6188469331669258,0.4092445,0.9428400993347168
ward,4,0.43194069746229274,0.3444950945763698,0.7882608695652173,0.11345445684010247,0.27097486824109496,0.5167426418645547,0.21173913043478265,0.7824210710032717,0.38797417,0.9477803707122803
ward,5,0.3800292126701089,0.27847483040660403,0.679304347826087,0.13608549540888004,0.29623434565539475,0.41771224560990605,0.32069565217391305,0.8250167575633423,0.40663162,0.946906566619873
ward,6,0.4179730504347196,0.31920365786634675,0.6978260869565218,0.18148696915292384,0.3581381055219055,0.4788054867995201,0.3021739130434782,0.7947726156816547,0.31922168,0.9373795986175537
ward,8,0.4007157589055044,0.2302411922743364,0.7488043478260868,0.18754328852086655,0.37230989579875884,0.3453617884115046,0.25119565217391315,0.8659130281378038,0.29387137,0.961052417755127
ward,10,0.3977117807597513,0.21575437895031913,0.7347826086956524,0.20793380979545317,0.39856783401073304,0.3236315684254787,0.2652173913043476,0.8797720143372757,0.27388796,0.9669175148010254
ward,12,0.4229527190164294,0.2534781046454989,0.7653623188405796,0.21177725519355928,0.40124128818014715,0.38021715696824837,0.2346376811594204,0.8458735219014275,0.27659556,0.9382753372192383
ward,15,0.4174930865090228,0.22770661308753037,0.7435362318840579,0.24921257925487628,0.439784565470412,0.34155991963129556,0.25646376811594207,0.8615237501219465,0.2257949,0.9433553218841553
ward,20,0.38934398989659513,0.18580608821290664,0.6888260869565217,0.27115932759581607,0.4513321959006903,0.27870913231935995,0.3111739130434783,0.8936657132224802,0.22634503,0.9553067684173584
ward,25,0.3891344892129858,0.17318255814328185,0.6870260869565217,0.2871285653961182,0.4712290337286593,0.25977383721492275,0.3129739130434783,0.8962650742246293,0.19109237,0.9690256118774414
ward,30,0.3698981172179646,0.14682211178467283,0.6545507246376812,0.28862486286585143,0.47673550455275626,0.22023316767700926,0.34544927536231884,0.9123772559082722,0.1802293,0.9508090019226074
complete,2,0.552506533671073,0.7179669654589316,0.8352173913043479,0.05846938756199038,0.039894146412649656,1.0769504481883974,0.1647826086956521,0.5159747688230738,0.45364705,1.3720691204071045
complete,3,0.4144902218971575,0.5782083138808946,0.5585507246376811,0.06022022152479778,0.04405763816517139,0.8673124708213419,0.4414492753623189,0.6231986959452046,0.43654668,1.3930959701538086
complete,4,0.46178647293022357,0.5292114386294823,0.7158695652173912,0.1008091309196909,0.134797721835064,0.7938171579442234,0.2841304347826088,0.6625726056029009,0.29169956,1.4161372184753418
complete,5,0.44012756690128124,0.5360552622419907,0.6332173913043477,0.10313611483176388,0.13513218258944026,0.8040828933629861,0.36678260869565227,0.6426604165494755,0.20042983,1.4144690036773682
complete,6,0.4680457031096322,0.5512780317163753,0.6981159420289855,0.10724261913600541,0.14675543295990412,0.826917047574563,0.3018840579710145,0.6267572739211172,0.14120163,1.3744912147521973
complete,8,0.48135196151852644,0.49576633900199996,0.7239130434782608,0.16539686889338368,0.27374655026827077,0.7436495085029999,0.2760869565217392,0.6721383103817042,0.1661454,1.372509479522705
complete,10,0.44100587625559806,0.4501400864886829,0.6160869565217393,0.19257401430499,0.3149176837190306,0.6752101297330244,0.3839130434782607,0.6858750143231201,0.1587226,1.3777883052825928
complete,12,0.42023801575221376,0.3967603888359253,0.6005797101449275,0.20216538209290313,0.3402342657361995,0.595140583253888,0.3994202898550725,0.7194594029717343,0.16848971,1.3800506591796875
complete,15,0.37609967560728286,0.34931556740686864,0.4986666666666666,0.21316348100460147,0.3653261766256345,0.523973351110303,0.5013333333333334,0.7643483833898235,0.17235784,1.3726115226745605
complete,20,0.34243098580316544,0.22919699096940763,0.5301304347826088,0.2205800023489083,0.39084039085522326,0.34379548645411145,0.4698695652173912,0.8495054739793695,0.17655513,1.384737491607666
complete,25,0.31904453463701615,0.1622483375121664,0.5136000000000001,0.26048829228140347,0.40661303859959375,0.24337250626824963,0.48639999999999994,0.8932388778539839,0.18575563,1.4060370922088623
complete,30,0.3117656260497808,0.14073572703566797,0.4883478260869567,0.2966766877038036,0.42976989502570717,0.21110359055350197,0.5116521739130433,0.9086838067466715,0.19249713,1.4252128601074219
average,2,0.42996433672827344,0.6942496887583056,0.5056521739130435,0.0012644923946539821,0.002527567945600273,1.0413745331374584,0.4943478260869565,0.5628132252531028,0.40030533,1.3701717853546143
average,3,0.3545106829206988,0.49994651717294736,0.5069565217391303,0.005454027244396142,0.010846769620808883,0.749919775759421,0.4930434782608697,0.6958991569223292,0.4312153,1.38653564453125
average,4,0.27923045033576926,0.4056343520121704,0.3813043478260869,0.005805811223215662,0.011430223330617828,0.6084515280182556,0.6186956521739131,0.7238474446148238,0.39936036,1.3948841094970703
average,5,0.22873188863237023,0.3172941979071438,0.30800000000000005,0.043545525334771074,0.019215871128646866,0.47594129686071573,0.692,0.7808988740921841,0.36978918,1.3662800788879395
average,6,0.32347814342712033,0.3389216669183242,0.4565217391304348,0.1313528484552824,0.20833351768245234,0.5083825003774863,0.5434782608695652,0.7739657080997274,0.40098915,1.376631259918213
average,8,0.26327994426123397,0.26768001853301676,0.34402173913043477,0.13948657872827008,0.2138561886643755,0.4015200277995251,0.6559782608695652,0.8264036525047157,0.38662666,1.3777532577514648
average,10,0.20526810499460957,0.17170973694009253,0.2757391304347827,0.1416450364076749,0.21743810417991005,0.2575646054101388,0.7242608695652173,0.8944562553371058,0.38418612,1.3971631526947021
average,12,0.18256221916306023,0.14298072566987344,0.2316666666666667,0.14726773463911358,0.22519845799495886,0.21447108850481014,0.7683333333333333,0.912121811175494,0.3486691,1.3938453197479248
average,15,0.1493162854953671,0.09195289756975876,0.18840579710144922,0.14751096111647977,0.2259116211303791,0.13792934635463813,0.8115942028985508,0.9432708268259974,0.24935576,1.372131586074829
average,20,0.14855728110399524,0.06101440170735866,0.16391304347826097,0.18244932720505413,0.3174013886454359,0.09152160256103799,0.836086956521739,0.9628728797158471,0.23862588,1.3901846408843994
average,25,0.17240683269097234,0.07869307302134966,0.17599999999999993,0.23578336824246926,0.3517473216404141,0.11803960953202448,0.8240000000000001,0.9536077004271459,0.2363846,1.3938539028167725
average,30,0.16362170734821901,0.07387647542137551,0.15147826086956528,0.23685782781473452,0.35399309831059367,0.11081471313206327,0.8485217391304347,0.9550117919346753,0.20937349,1.3816592693328857
