dataset,index,prompt_preview,prompt_length,has_tools,protocol,provider,model,timestamp
routellm_gpt4,74,"Question: What is meant by the phrase CSR?
A: Corporate Social Responsibility
B: Company Social Responsibility
C: Corporate Society Responsibility
D: Company Society Responsibility
Please eliminate tw...",292,False,minion,huggingface,Qwen/Qwen2.5-14B-Instruct,2025-07-06T22:42:46.293534
routellm_gpt4,75,"explain ""The Data Scientist will build predictive and statistical models to improve credit policy and
minimize credit losses. The position leads development and analysis of new Credit Services
strateg...",497,False,minion,huggingface,Qwen/Qwen2.5-14B-Instruct,2025-07-06T22:42:46.988987
routellm_gpt4,76,what is market maker?,21,False,minion,huggingface,Qwen/Qwen2.5-14B-Instruct,2025-07-06T22:42:47.415942
routellm_gpt4,77,I want to learn but I can't make myself do that. Write me a fairly short message on how I can do that just when I wake up.,122,False,minion,huggingface,Qwen/Qwen2.5-14B-Instruct,2025-07-06T22:42:47.920268
routellm_gpt4,78,"From mixed martial artist to bare-knuckle boxer, Paige VanZant can now add “professional wrestler” to her resume.

he former UFC star officially has signed with All Elite Wrestling. VanZant signed her...",532,False,minion,huggingface,google/flan-t5-xl,2025-07-06T22:42:48.717939
routellm_gpt4,79,"You will be given a definition of a task first, then some input of the task.
This task is about translating a given Yoruba language sentence to English.

òǹkà onímẹ́wàámẹ́wàá *gangan*, bíi $0.75$
Outp...",203,False,minion,huggingface,Qwen/Qwen2.5-14B-Instruct,2025-07-06T22:42:49.343854
routellm_gpt4,80,Please pose as a aws support and answe my queries,49,False,minion,huggingface,Qwen/Qwen2.5-14B-Instruct,2025-07-06T22:42:49.791095
routellm_gpt4,81,"Teacher:Decide the language of that sentence. The language can be English, French, German, Italian, or Spanish.
Teacher: Now, understand the problem? Solve this instance: Text: 'Le consulto horarios d...",320,False,minion,huggingface,Qwen/Qwen2.5-14B-Instruct,2025-07-06T22:42:50.503856
routellm_gpt4,82,How can I encourage a stubborn friend to examine things from multiple perspectives?,83,False,minion,huggingface,Qwen/Qwen2.5-14B-Instruct,2025-07-06T22:42:50.967482
routellm_gpt4,83,"Can you provide a detailed guide for constructing an organic vegetable garden using raised beds, including a [HTML page] with a comprehensive list of materials and tools required? Please also include ...",685,False,standard_llm,openai,gpt-4o,2025-07-06T22:42:51.784910
routellm_gpt4,84,Write a science-fiction story set in the year 2077 about a middle-aged scientist who discovers they have the ability to control plants and use this power to save their city from an impending ecologica...,659,False,standard_llm,openai,gpt-4o,2025-07-06T22:42:52.610050
routellm_gpt4,85,How can I know when a Gutenberg block receives focus in the editor?,67,False,minion,huggingface,Qwen/Qwen2.5-14B-Instruct,2025-07-06T22:42:53.065364
routellm_gpt4,86,What are some interesting flavorings i can mix with my beef patties?,68,False,minion,huggingface,Qwen/Qwen2.5-14B-Instruct,2025-07-06T22:42:53.512062
routellm_gpt4,87,"given is the following perl function. Please rewrite the code so that there is the least amount of code duplication. 
sub apiCall {
    my ($endpoint, $data) = @_;

    # Create a new LWP::UserAgent o...",1177,False,minion,huggingface,codellama/CodeLlama-13b-Instruct-hf,2025-07-06T22:42:55.003012
routellm_gpt4,88,"In this task, you will be given a short story. One sentence from the story is chosen. Consider the events that happen after that sentence. Is any of them directly caused by it, or is made possible by ...",594,False,minion,huggingface,Qwen/Qwen2.5-14B-Instruct,2025-07-06T22:42:55.886779
routellm_gpt4,89,Fastest way to learn Go language,32,False,minion,huggingface,Qwen/Qwen2.5-14B-Instruct,2025-07-06T22:42:56.295036
routellm_gpt4,90,"I am taking a business trip to  Rochester, NY next month. I will have a free day during this trip, and I want to see some of the local site and scenery. Can you create an itinerary for that day that i...",228,False,minion,huggingface,Qwen/Qwen2.5-14B-Instruct,2025-07-06T22:42:56.864138
routellm_gpt4,91,How can I get my baby to not squirm in his high chair?,54,False,minion,huggingface,Qwen/Qwen2.5-14B-Instruct,2025-07-06T22:42:57.343288
routellm_gpt4,92,What are the essential requirements for building an organic vegetable garden using raised beds while ensuring optimal soil and compost ratios? Along with a comprehensive list of recommended materials ...,484,False,standard_llm,openai,gpt-4o,2025-07-06T22:42:58.055566
routellm_gpt4,93,Can you recommend any winter sports or activities to do in Madison?,67,False,minion,huggingface,Qwen/Qwen2.5-14B-Instruct,2025-07-06T22:42:58.612698
routellm_gpt4,94,"In this task, you are given the name of an Indian food dish. You need to classify the dish as a ""main course"", ""dessert"" or ""snack"".

Let me give you an example: Sev tameta
The answer to this example ...",320,False,minion,huggingface,Qwen/Qwen2.5-14B-Instruct,2025-07-06T22:42:59.321075
routellm_gpt4,95,How did Emma Watson describe her feeling,40,False,minion,huggingface,Qwen/Qwen2.5-14B-Instruct,2025-07-06T22:42:59.761680
routellm_gpt4,96,Why do hermit crabs live in bins?,33,False,minion,huggingface,Qwen/Qwen2.5-14B-Instruct,2025-07-06T22:43:00.203817
routellm_gpt4,97,"Write a comprehensive guide on how to make homemade baked beans from scratch, detailing step-by-step instructions for cooking and preparing the ingredients, including tips for seasoning and flavor pro...",562,False,standard_llm,openai,gpt-4o,2025-07-06T22:43:00.931788
routellm_gpt4,98,"powershell, how to know if virtualisation is disabled in the bios",65,False,minion,huggingface,Qwen/Qwen2.5-14B-Instruct,2025-07-06T22:43:01.382757
routellm_gpt4,99,Question: Read the passage below and choose the right answer to the following question (choices are America or China ):  Countries with more industry produce more hazardous wastes than those with litt...,1215,False,minion,huggingface,Qwen/Qwen2.5-14B-Instruct,2025-07-06T22:43:02.663339
routellm_gpt4_tools,0,"Write c++ code, which calculates and outputs n digits of pi.",60,True,standard_llm,deepseek,deepseek-chat,2025-07-06T22:43:03.487778
routellm_gpt4_tools,1,"[Partner Cooperation Team] Share webinar schedule for Cafe24 employees
hello. This is a partnership team.
To have time to share information about 'partner service/market' necessary for customer consul...",957,True,standard_llm,openai,gpt-4o,2025-07-06T22:43:04.606132
routellm_gpt4_tools,2,Write a short rhyming poem explaining Einstein's theory of general relativity in easy but accurate terms,104,True,standard_llm,openai,gpt-4o,2025-07-06T22:43:05.070660
routellm_gpt4_tools,3,"Replace the words ""desktop, articles, allows, user"" in following sentence, don't change other words: As a user, SpinnerChief API allows you to use SpinnerChief to spin articles inside other compatible...",268,True,standard_llm,openai,gpt-4o,2025-07-06T22:43:05.657968
routellm_gpt4_tools,4,What is the goal of creating quantum computers?,47,True,standard_llm,openai,gpt-4o,2025-07-06T22:43:06.098370
routellm_gpt4_tools,5,"I am trying to name a consumer product that sorts collectible cards.  I would like to explore names that have all knight / tower / squire / guard-related naming.  Some that we have thought of are ""Car...",396,True,standard_llm,openai,gpt-4o,2025-07-06T22:43:06.832971
routellm_gpt4_tools,6,append new row to datframe,26,True,standard_llm,openai,gpt-4o,2025-07-06T22:43:07.253524
routellm_gpt4_tools,7,What's the word used to describe the thing instructors use to evaluate students' answers?,89,True,standard_llm,openai,gpt-4o,2025-07-06T22:43:07.721224
routellm_gpt4_tools,8,"In this task, you will be presented with a context from an academic paper and a question based on the context. You have to classify the questions into ""Extractive"", ""Abstractive"", or ""Yes-no"" question...",1416,True,standard_llm,openai,gpt-4o,2025-07-06T22:43:09.140970
routellm_gpt4_tools,9,How many batches are normal when training a deep learning method?,65,True,standard_llm,openai,gpt-4o,2025-07-06T22:43:09.629430
routellm_gpt4_tools,10,I need some vegan recipe ideas. I'm having some friends over and two have expressed they are now vegan.,103,True,standard_llm,openai,gpt-4o,2025-07-06T22:43:10.126695
routellm_gpt4_tools,11,How can you help your dog with arthritis?,41,True,standard_llm,openai,gpt-4o,2025-07-06T22:43:10.561882
routellm_gpt4_tools,12,is it okay to install spark plugs without making sure they are callibrated?,75,True,standard_llm,openai,gpt-4o,2025-07-06T22:43:11.012705
routellm_gpt4_tools,13,"Given a sentence in Spanish, provide an equivalent paraphrased version from the original that retains the same meaning.

El término `` esferocitosis no hereditaria se usa raramente, aunque ocasionalme...",204,True,standard_llm,openai,gpt-4o,2025-07-06T22:43:11.571732
routellm_gpt4_tools,14,"Part 1. Definition
You are given a math word problem and you are supposed to only use multiplication or division operators on the numbers embedded in the text to answer the following question and then...",566,True,standard_llm,openai,gpt-4o,2025-07-06T22:43:12.386790
routellm_gpt4_tools,15,Which deserts can warships cross?,33,True,standard_llm,openai,gpt-4o,2025-07-06T22:43:12.795931
routellm_gpt4_tools,16,Can you help me make my own ideology for a government?,54,True,standard_llm,openai,gpt-4o,2025-07-06T22:43:13.240487
routellm_gpt4_tools,17,how are educational quality improvement and education research different?,73,True,standard_llm,openai,gpt-4o,2025-07-06T22:43:13.701105
routellm_gpt4_tools,18,"Violet is planning a hike through the desert with her dog. Violet needs 800 ml of water per hour hiked and her dog needs 400 ml of water per hour. If Violet can carry 4.8 L of water, how many hours ca...",278,True,standard_llm,openai,gpt-4o,2025-07-06T22:43:14.329443
routellm_gpt4_tools,19,What are the principles of regulatory sequence organization in the genome?,74,True,standard_llm,openai,gpt-4o,2025-07-06T22:43:14.783794
routellm_gpt4_tools,20,"tell me the temperature in celsius, hydrometry rate in percentage, sunshine rate in hours, rainfall in mm, humidity rate in percentage, soil type, type of climate for Dark Willowherb seed in bullets 2...",223,True,standard_llm,openai,gpt-4o,2025-07-06T22:43:15.339474
routellm_gpt4_tools,21,"Please create a great reply for the following tweet:

""One of Twitter's most promising ways to add $10B+ in revenue over the next several years is to help companies hire + help people find new jobs. 
...",334,True,standard_llm,openai,gpt-4o,2025-07-06T22:43:16.004643
routellm_gpt4_tools,22,"Definition: In this task, you're given a short story of five sentences written in natural language. However, the order of the given story is not correct. Your job is to return the correct order for th...",726,True,standard_llm,openai,gpt-4o,2025-07-06T22:43:16.952913
routellm_gpt4_tools,23,What kind of protein is best for building muscle?,49,True,standard_llm,openai,gpt-4o,2025-07-06T22:43:17.412657
routellm_gpt4_tools,24,"Data format:
You must have [ HTML page ] data type and [ HTML page ] code type in the following Rewrite prompt
Rewrite prompt:
How can you create a web page that displays an image with a caption under...",825,True,standard_llm,deepseek,deepseek-chat,2025-07-06T22:43:18.605125
routellm_gpt4_tools,25,"I want you to act as a car diognostic. I will describe an issue with my car and you will provide advice on how to fix it. My first request is ""my car start up only after sometime in the morning, and w...",261,True,standard_llm,openai,gpt-4o,2025-07-06T22:43:19.220776
routellm_gpt4_tools,26,"how to add an embedding chatbot to a streamlit app
import streamlit as st
import streamlit as caching
import st.components as pyvis
import pandas as pd
import numpy as np

st. title(""Your business ins...",638,True,standard_llm,openai,gpt-4o,2025-07-06T22:43:20.466709
routellm_gpt4_tools,27,"In this task, you are given the name of an Indian food dish. You need to classify the dish as a ""main course"", ""dessert"" or ""snack"".
One example: Sev tameta
Solution is here: main course
Explanation: ...",274,True,standard_llm,openai,gpt-4o,2025-07-06T22:43:21.141690
routellm_gpt4_tools,28,We would like you to assess the QUALITY of each of the following argument (discussing Gun Control) and determine if the argument is Valid or Invalid. A valid argument is clearly interpretable and eith...,913,True,standard_llm,openai,gpt-4o,2025-07-06T22:43:22.437462
routellm_gpt4_tools,29,"""Generate Python code to convert Source to Target:
    Source:
      [‘18:25:57 PM’, ‘20:25:57 PM’, ‘10:57:12 AM’]  
    Target:
      [‘18 PM’, ‘20 PM’, ‘10 AM’]""",163,True,standard_llm,deepseek,deepseek-chat,2025-07-06T22:43:23.030489
routellm_gpt4_tools,30,"provide script to plot and the lines based on sampleLevel: m3 <- lmer(log(vd) ~ log(distanceCoreTop) + sampleLevel + (1|fullSpeciesName/treeTag), data = data_branch, #sensible model #160623 #4
       ...",228,True,standard_llm,deepseek,deepseek-chat,2025-07-06T22:43:23.659022
routellm_gpt4_tools,31,Can my elderly aunt use an exercise ball?,41,True,standard_llm,openai,gpt-4o,2025-07-06T22:43:24.110838
routellm_gpt4_tools,32,Write an article about the Safety of 5-BROMO-2-FLUORONICOTINIC ACID 1500-2000 words in chemical industry,104,True,standard_llm,openai,gpt-4o,2025-07-06T22:43:24.603065
routellm_gpt4_tools,33,"In this task, you are given a text from a post. Your task is to find all of the proper nouns and label them. The labels are <B-PER>, <I-PER> for persons; <B-ORG>, <I-ORG> for organizations; <B-LOC>, <...",850,True,standard_llm,openai,gpt-4o,2025-07-06T22:43:25.951440
routellm_gpt4_tools,34,Should I buy a printer or go to a local print shop?,51,True,standard_llm,openai,gpt-4o,2025-07-06T22:43:26.405429
routellm_gpt4_tools,35,"Write a redux observable epic in typescript that listens for an action with type START, then makes an API call `API.call` with the action payload as a parameter. The API call should be retried after 3...",403,True,standard_llm,deepseek,deepseek-chat,2025-07-06T22:43:27.143536
routellm_gpt4_tools,36,Does a steady injection of allergen through the skin help reduce allergic reactions?,84,True,standard_llm,openai,gpt-4o,2025-07-06T22:43:27.639084
routellm_gpt4_tools,37,How do I use epoxy?,19,True,standard_llm,openai,gpt-4o,2025-07-06T22:43:28.087198
routellm_gpt4_tools,38,How many planets are there in the solar system?,47,True,standard_llm,openai,gpt-4o,2025-07-06T22:43:28.527532
routellm_gpt4_tools,39,Detailed Instructions: In this task you will be given a string and you should find the longest substring that is a palindrome. A palindrome is a string that is the same backwards as it is forwards. If...,314,True,standard_llm,openai,gpt-4o,2025-07-06T22:43:29.183352
routellm_gpt4_tools,40,What's the recycling process for paper?,39,True,standard_llm,openai,gpt-4o,2025-07-06T22:43:29.635177
routellm_gpt4_tools,41,"What would be the ★-rating of this review (★ being the lowest and ★★★★★ being the highest)? ""Good apps to download""
A:",118,True,standard_llm,openai,gpt-4o,2025-07-06T22:43:30.122139
routellm_gpt4_tools,42,Can you suggest any remote hiking trails in the Rocky Mountains?,64,True,standard_llm,openai,gpt-4o,2025-07-06T22:43:30.562084
routellm_gpt4_tools,43,What is the acceptance rate for medical school in California?,61,True,standard_llm,openai,gpt-4o,2025-07-06T22:43:31.016384
routellm_gpt4_tools,44,Can you recommend any hidden-gem attractions in Barcelona that tourists may not know about?,91,True,standard_llm,openai,gpt-4o,2025-07-06T22:43:31.463882
routellm_gpt4_tools,45,Write a one-act play with a comedic tone about a group of coworkers from diverse backgrounds who are trapped in an office building during a snowstorm. Each character should have a distinct personality...,496,True,standard_llm,openai,gpt-4o,2025-07-06T22:43:32.164465
routellm_gpt4_tools,46,Do you know any quote from Stephen Hawking that is about fate?,62,True,standard_llm,openai,gpt-4o,2025-07-06T22:43:32.635473
routellm_gpt4_tools,47,Write me a python code that takes URL as a parameter and then fetches the entire content of the URL and returns everything as a string,134,True,standard_llm,deepseek,deepseek-chat,2025-07-06T22:43:33.126757
routellm_gpt4_tools,48,Hey - I am trying to come up with a name for a music production DJ group for me and my two friends. Do you have any ideas?,122,True,standard_llm,openai,gpt-4o,2025-07-06T22:43:33.673316
routellm_gpt4_tools,49,What are the long-term implications of sleep deprivation on both physical and mental health? Can you provide a comprehensive set of HTML data points that illustrate the different ways sleep deprivatio...,362,True,standard_llm,openai,gpt-4o,2025-07-06T22:43:34.294764
